"id","name","price","description","image","brand_id"
6,Gazelle,110.0,"Nate come scarpe da training indoor, le adidas Gazelle sono diventate nel tempo un'icona intramontabile.
Con una morbida tomaia in suede premium dai colori tenui, si abbinano perfettamente ai tuoi outfit quotidiani. Incontra la tua crew o gira per la città in questo modello di ispirazione old-school che rende omaggio alla storia adidas mentre aggiunge un vibe premium ai tuoi look.",gazelle_image.webp,2
7,Superstar,105.0,"Dal mondo del basket alle strade della città, Superstar è un'icona lifestyle intramontabile. Con l'inconfondibile punta a conchiglia e il suo design unico e senza tempo, continua a dettare le regole dello stile. Oggi, la leggendaria adidas Superstar è di nuovo qui, con un look più fresco che mai.
La tomaia in pelle morbida e la punta a conchiglia in gomma richiamano i campi da basket e le strade delle città. La linguetta e il collarino imbottiti assicurano una grande praticità, mentre la suola in gomma testurizzata garantisce un grip ottimale. Che tu stia giocando a basket o che sia in giro per la città, le adidas Superstar hanno una versatilità e un fascino old-school che ti accompagnano ovunque con uno stile senza tempo.",superstar_image.webp,2
8,Stan Smith,100.0,"Create nel 1971 per la stella del tennis Stan Smith, queste scarpe da uomo dalle linee pulite conservano un posto speciale nella storia della moda. Scarpe adidas Stan Smith da uomo con tomaia in morbida pelle pieno fiore con 3 strisce traforate e suola in gomma tono su tono. Fodera in pelle sintetica.",stansmith_image.jpg,2
9,Air Force 1,120.0,"La leggendaria AF-1 si rinnova con un lussuoso look in pony. La morbida pelle effetto pelo aggiunge profondità e texture a tutto il design rivisitato, creando una nuova espressione per l'iconica scarpa da basket dell'82 trasformatasi in un'icona streetwear. Il colletto imbottito e basso e l'ammortizzazione Nike Air mantengono il comfort classico di sempre. I lacci cerati e il marchio in rilievo impreziosiscono la finitura e la discreta colorazione tonale ""Black and Off Noir"", fa tutto tranne che mimetizzarsi.",airforce_image.jpg,1
10,Air Force Shadow,130.0,"Le Nike AF-1 Shadow sono una scelta ottimale per chi ama il connubio tra estetica contemporanea e comfort collaudato. Le sfumature dorate aggiungono eleganza a un modello senza tempo, senza tradire la praticità. Insomma, sono perfette da mattina a sera.
",shadow_image.jpg,1
11,Cortez,90.0,"Un ritorno desiderato da te amante del vintage e dello stile. Nike Cortez torna mantenendo il fascino retrò che conosci e ami. Ora, con un'area della punta più ampia e pannelli laterali più solidi, puoi indossarle comodamente giorno dopo giorno. Inoltre, la tomaia in mesh è stata riprogettata per evitare deformazioni o pieghe.
",cortez_image.jpg,1
12,"480",100.0,"Scopri e indossa lo stile delle nuove New Balance 480!
Ispirate ai primi modelli da basket di NB, le 480 sfoggiano dettagli autentici oltre ad ammortizzazione moderna. Adatte per ogni dresscode, le New Balance 480 sono versatili, comode e piene di stile!","480_image.jpg",4
13,"530",120.0,"Scopri la nuova New Balance 530!
La 530 di New Balance è una sneaker versatile, ideale per l'uso quotidiano a scuola, in cortile o in viaggio. Questa sneaker abbina una tomaia sintetica resistente a un'intersuola ammortizzante che aiuta ad assorbire gli impatti, offrendo un comfort eccezionale durante la corsa e il gioco.","530_image.webp",4
14,Chuck Taylor,80.0,"Rivivi la storia con le iconiche Converse Chuck Taylor All Star, un simbolo di autenticità e stile senza tempo. Nate sui campi da basket negli anni '20, queste sneakers sono diventate un must-have nella cultura pop e nello streetwear. Le Converse Chuck Taylor All Star sono la scelta ideale per chi cerca uno stile semplice e autentico, combinato con la qualità e il comfort che solo Converse può offrire. Perfette per esprimere la tua individualità con un classico che non passa mai di moda, scegli lo stile Converse!",chuck_image.webp,3
15,Run Star Trainer,95.0,"Scopri le Converse Run Star Trainer, le scarpa che celebra lo sport, lo stile e la tradizione!
I dettagli eleganti e l'ammortizzazione esclusiva si abbinano alla perfezione a tutti i tuoi look preferiti, sia per il giorno che per la sera. Immergiti nella nuova fase della storia di Star Chevron.
",trainer_image.webp,3
1,Dunk,120.0,"Rivivi l'epoca d'oro del basket con le Nike Dunk, un'icona che ha segnato la storia delle sneaker. Originariamente lanciate negli anni '80 come scarpe da basket, le Dunk sono diventate rapidamente un simbolo di stile e cultura streetwear. Grazie al loro design distintivo e all'attenzione per i dettagli, offrono una perfetta combinazione di comfort, durabilità e uno stile inconfondibile.",dunk_image.webp,1
2,Campus 00,110.0,"Dopo il debutto sul parquet, le adidas Campus hanno rapidamente ampliato i loro orizzonti.
Con questa versione, l'iconica silhouette si muove in una nuova direzione utilizzando materiali, colori e proporzioni al passo con i tempi. La tomaia in pelle pregiata con fodera in morbido french terry è abbinata a un'intersuola off-white che rende omaggio alla storia delle Campus.",campus_image.webp,2
3,AirMax,150.0,"Air Max Pulse combina un design resistente allo stile urbano, aggiungendo all'iconica linea Air Max un tocco underground. L'intersuola rivestita in tessuto e i dettagli realizzati con sigillatura sottovuoto accentuano lo stile street, mentre i colori ispirati alla scena musicale grime donano un look d'impatto. L'ammortizzazione Air a carico concentrato, rinnovata con la morbidissima Air Max 270, offre un comfort affidabile mentre fai le commissioni o ti scateni in pista.",airmax_image.jpg,1
4,Spezial,125.0,"Stile iconico e versatilità contemporanea si incontrano nelle adidas Handball Spezial.
Create originariamente per la pallamano, queste sneaker low-top sono ormai indossate lungo le strade delle città da decenni. La morbida tomaia in nabuk è caratterizzata da tonalità neutre che si abbinano perfettamente a qualsiasi outfit. All'interno, la fodera in pelle e la soletta offrono una morbidezza extra.",spezial_image.webp,2
5,Samba,120.0,"Prima di conquistare le strade della città, le adidas Samba hanno lasciato il segno sui campi indoor. La tomaia in pelle morbida, la punta con protezione in nabuk e la suola in gomma rinforzata sono progettate per offrire agilità e controllo. Anche se i tempi sono cambiati, la loro essenza rimane la stessa. Oggi continuano a mostrare il loro iconico look lifestyle in ogni situazione. La silhouette è ispirata a decenni di storia del brand e mantiene vivo lo spirito del Trifoglio.",samba_image.webp,2
